Filer,SEC_CIK,Filing_Quarter,Security_Name,Ticker,Shares_Held,Market_Value_USD,Pct_of_Portfolio,Position_Change_vs_Prior,Sector,Trident_Relevance,Source,Notes
Mubadala Investment Company PJSC,0001704268,Q4 2025,Pony AI Inc,PONY,1125287,25300000,0.14%,Maintained (now with value data),Autonomous Vehicles,Low,SEC 13F filed Feb 17 2026 / Fintel,Chinese autonomous driving company
Mubadala Investment Company PJSC,0001704268,Q4 2025,Adobe Inc,ADBE,Unknown,8000000,0.05%,NEW POSITION,Software/Creative Tech,Low,SEC 13F filed Feb 17 2026,New Q4 entry; small position
Mubadala Investment Company PJSC,0001704268,Q4 2025,Lam Research Corp,LRCX,41003,5490000,0.03%,Maintained,Semiconductor Equipment,Medium — chip supply chain,SEC 13F filed Feb 17 2026 / Fintel,Semiconductor manufacturing equipment
Mubadala Investment Company PJSC,0001704268,Q4 2025,Applied Materials Inc,AMAT,21404,4380000,0.03%,Maintained,Semiconductor Equipment,Medium — chip supply chain,SEC 13F filed Feb 17 2026 / Fintel,Semiconductor manufacturing equipment
Mubadala Investment Company PJSC,0001704268,Q4 2025,Lockheed Martin Corp,LMT,0,0,0.00%,🚩 FULLY EXITED — 18554 shares sold. Reversed Q3 defense entry entirely.,Defense,CRITICAL FINDING — defense exit reversal,SEC 13F filed Feb 17 2026 / Fintel,Mubadala FULLY reversed its Q3 new defense entry. Opposite of predicted pattern.
Mubadala Investment Company PJSC,0001704268,Q4 2025,Leidos Holdings Inc,LDOS,0,0,0.00%,EXITED — reduced to zero (noted in Q3 baseline),Defense/IT Services,Low,SEC 13F filed Feb 17 2026,Defense IT services; position eliminated
Mubadala Investment Company PJSC,0001704268,Q4 2025,Other positions (58 additional),Various,Various,Various,Various,64 total positions (up from 58 in Q3),Various,Low — individually small,SEC 13F filed Feb 17 2026,Mubadala expanded position count but top holdings largely stable; NO Oracle/Palantir/defense entries
Silver Lake Group LLC,0001418226,Q4 2025,Unity Software Inc,U,34700000,1390000000,27.63%,Maintained,Gaming/Tech Engine,Medium — gaming infrastructure layer,SEC 13F filed Feb 2026 / Fintel,Game engine; AR/VR infrastructure
Silver Lake Group LLC,0001418226,Q4 2025,First Advantage Corp,FA,89600000,1380000000,27.44%,Maintained,HR Tech/Background Check,Low,SEC 13F filed Feb 2026 / Fintel,Background screening services
Silver Lake Group LLC,0001418226,Q4 2025,EverCommerce Inc,EVCM,67100000,747000000,14.85%,Maintained,SaaS/SMB,Low,SEC 13F filed Feb 2026 / Fintel,Service commerce platform
Silver Lake Group LLC,0001418226,Q4 2025,Klarna Group PLC,KLAR,14500000,530000000,10.54%,Maintained,Fintech,Low — but 3-way overlap with Mubadala + SoftBank,SEC 13F filed Feb 2026 / Fintel,Both Silver Lake AND Mubadala AND SoftBank hold Klarna
Silver Lake Group LLC,0001418226,Q4 2025,N-able Inc,NABL,61500000,480000000,9.54%,Maintained,IT Management/MSP,Low,SEC 13F filed Feb 2026 / Fintel,IT management software
Silver Lake Group LLC,0001418226,Q4 2025,Madison Square Garden Sports Corp,MSGS,1900000,431000000,8.57%,Maintained,Sports/Entertainment,Low,SEC 13F filed Feb 2026 / Fintel,Sports franchise ownership
Silver Lake Group LLC,0001418226,Q4 2025,Caris Life Sciences Inc,CAI,Unknown,Unknown,Unknown,Maintained,Healthcare/Diagnostics,Low,SEC 13F filed Feb 2026 / Fintel,Precision medicine
Silver Lake Group LLC,0001418226,Q4 2025,GoodRx Holdings Inc,GDRX,Unknown,Unknown,Unknown,Maintained,Healthcare Tech,Low,SEC 13F filed Feb 2026 / Fintel,Prescription drug pricing
Silver Lake Group LLC,0001418226,Q4 2025,Snowflake Inc,SNOW,Unknown,Unknown,Unknown,Maintained,Cloud Data,Medium — data infrastructure,SEC 13F filed Feb 2026 / Fintel,Cloud data warehousing
Silver Lake Group LLC,0001418226,Q4 2025,Simon Property Group Inc,SPG,Unknown,Unknown,Unknown,Maintained or NEW,Real Estate/REITs,Low,SEC 13F filed Feb 2026,Real estate investment trust
Silver Lake Group LLC,0001418226,Q4 2025,Realty Income Corp,O,Unknown,Unknown,Unknown,Maintained or NEW,Real Estate/REITs,Low,SEC 13F filed Feb 2026,Real estate investment trust
Silver Lake Group LLC,0001418226,Q4 2025,Healthpeak Properties Inc,DOC,Unknown,Unknown,Unknown,Maintained or NEW,Healthcare Real Estate,Low,SEC 13F filed Feb 2026,Healthcare-focused REIT
Affinity Partners GP LP,0002059583,Q4 2025,QXO Inc,QXO,32686065,630514194,100.00%,Maintained (+14523 shares; value up from $622.7M to $630.5M; +0.04% share increase),Building Products,NOTABLE — Kushner sole public position; Apollo-financed consolidation vehicle,SEC 13F filed Feb 13 2026 / WhaleWisdom / Fintel,100% portfolio concentration; Kushner on QXO board; $11B Beacon + $2.25B Kodiak acquisitions
Apollo Management Holdings LP,0001449434,Q4 2025,Aspen Insurance Holdings Ltd,AHL,75400000,Unknown,Unknown,Maintained — dominant position,Insurance,Low,SEC 13F filed Feb 2026 / Fintel,Dominant insurance position
Apollo Management Holdings LP,0001449434,Q4 2025,EchoStar Corp,SATS,Unknown,1300000000,10.66%,🚩 MAJOR INCREASE — from $302M to >$1.3B (+330%),Satellite/Telecom,Medium — satellite infrastructure,SEC 13F filed Feb 2026 / Fintel,Satellite communications; massive increase from Q3
Apollo Management Holdings LP,0001449434,Q4 2025,ADT Inc,ADT,102000000,888000000,7.28%,Maintained,Security Services,Low,SEC 13F filed Feb 2026 / Fintel,Home/business security
Apollo Management Holdings LP,0001449434,Q4 2025,Hilton Grand Vacations Inc,HGV,18000000,763000000,6.25%,Maintained,Hospitality,Low,SEC 13F filed Feb 2026 / Fintel,Timeshare/vacation ownership
Apollo Management Holdings LP,0001449434,Q4 2025,VanEck Semiconductor ETF — PUT OPTIONS,SMH,Unknown,Unknown,Unknown,NEW POSITION — put options,Semiconductors/Hedging,NOTABLE — semiconductor hedge/positioning,SEC 13F filed Feb 2026,New Q4 entry; notable hedging or directional bet on semiconductor sector
Apollo Management Holdings LP,0001449434,Q4 2025,Global Business Travel Group Inc,GBTG,Unknown,Unknown,Unknown,NEW POSITION,Business Travel,Low — overlap with QIA GBTG holding,SEC 13F filed Feb 2026,New Q4 entry; QIA also holds GBTG via 13D/13G
Apollo Management Holdings LP,0001449434,Q4 2025,Rackspace Technology Inc,RXT,129609000,182749000,1.50%,Maintained,Cloud/IT,Medium — cloud infrastructure,SEC 13F filed Feb 2026 / Fintel,Cloud computing services
Apollo Management Holdings LP,0001449434,Q4 2025,Uniti Group Inc,UNIT,Unknown,Unknown,Unknown,Maintained or NEW,Fiber/Telecom Infrastructure,Low,SEC 13F filed Feb 2026,Fiber infrastructure
Apollo Management Holdings LP,0001449434,Q4 2025,Other positions (~100 additional),Various,Various,Various,Various,108 total positions (up from 53 in Q3 — doubled),Various,Low individually — 13F structurally irrelevant for Apollo's Trident role,SEC 13F filed Feb 2026,Portfolio grew from $9.12B to $12.2B (+33.8%); position count doubled. Credit book remains the real signal.
Cascade Investment LLC,0001061768,Q4 2025,Berkshire Hathaway Inc Class B,BRK.B,Unknown,9760000000,27.60%,Maintained — 0% turnover,Conglomerate,Low,SEC 13F filed Feb 2026 / Fintel,Foundation Trust top holding; long-term hold strategy
Cascade Investment LLC,0001061768,Q4 2025,Waste Management Inc,WM,Unknown,6360000000,18.00%,Maintained — 0% turnover,Waste/Environment,Low,SEC 13F filed Feb 2026 / Fintel,Foundation Trust holding
Cascade Investment LLC,0001061768,Q4 2025,Canadian National Railway Co,CNI,Unknown,5130000000,14.50%,Maintained — 0% turnover,Rail/Transport,Low,SEC 13F filed Feb 2026 / Fintel,Foundation Trust holding
Cascade Investment LLC,0001061768,Q4 2025,Microsoft Corp,MSFT,Unknown,3710000000,10.50%,Maintained — 0% turnover,Tech/Cloud,Low,SEC 13F filed Feb 2026 / Fintel,Foundation Trust holding; Gates co-founded MSFT
Cascade Investment LLC,0001061768,Q4 2025,Caterpillar Inc,CAT,Unknown,3640000000,10.30%,Maintained — 0% turnover,Industrial/Construction,Low,SEC 13F filed Feb 2026 / Fintel,Foundation Trust holding
Cascade Investment LLC,0001061768,Q4 2025,Other positions (18 additional in Foundation Trust; 143 in Cascade LLC),Various,Various,Various,Various,Foundation Trust: 23 holdings ~$35.36B total; Cascade LLC: 143 holdings ~$149.8M (diversified small vehicle),Various,Low,SEC 13F filed Feb 2026 / Fintel,"NO Tesla put options found — Tesla short claim CANNOT be verified via 13F. NO Oracle or defense tech positions. TIER 3 — LOW RELEVANCE."
Thiel Capital / Thiel Macro LLC,0001562087,Q4 2025,NONE — FULLY LIQUIDATED,N/A,0,0,0.00%,🚩 TOTAL LIQUIDATION — All positions sold (was $74.4M in TSLA/MSFT/AAPL in Q3),N/A,TIER 2 — Complete exit from public equities is itself a signal,SEC 13F filed Feb 2026 / WhaleWisdom,Zero public equity holdings as of Dec 31 2025. All investments now in private vehicles (Founders Fund / Valar Ventures). Founders Fund also exited ETHZilla (ETHZ) — 11.6M shares (7.5% stake) sold.
Citadel Advisors LLC,0001423053,Q4 2025,Oracle Corp — CALL OPTIONS,ORCL,9420000,2650000000,0.40%,🚩 NOTABLE — call options UP 56.8% from Q3,Cloud/Data Infrastructure,TIER 3 — market maker; but 56.8% Oracle call increase is directionally notable,SEC 13F filed Feb 2026 / Fintel / WhaleWisdom,"$665.87B total; 12500+ holdings; heavy derivatives. Cannot distinguish directional conviction from market-making."
Citadel Advisors LLC,0001423053,Q4 2025,Palantir Technologies — CALLS + PUTS,PLTR,39210000,7150000000,1.07%,Maintained — 24.35M calls ($4.44B) + 14.86M puts ($2.71B); calls up 4.2%,Defense/AI Analytics,TIER 3 — options market-making activity,SEC 13F filed Feb 2026 / Fintel,Multi-strategy; options-dominant. Net call/put spread does not indicate directional conviction.
Tiger Global Management,0001167483,Q4 2025,Alphabet Inc,GOOGL,Unknown,3330000000,11.21%,Maintained,Tech/Search/Cloud,Low,SEC 13F filed Feb 2026 / Fintel,Top Tiger Global holding
Tiger Global Management,0001167483,Q4 2025,Microsoft Corp,MSFT,Unknown,2650000000,8.92%,Maintained,Tech/Cloud,Low,SEC 13F filed Feb 2026 / Fintel,Second largest holding
Tiger Global Management,0001167483,Q4 2025,Amazon.com Inc,AMZN,Unknown,2310000000,7.78%,Maintained,E-commerce/Cloud,Low,SEC 13F filed Feb 2026 / Fintel,Major tech growth position
Tiger Global Management,0001167483,Q4 2025,NVIDIA Corp,NVDA,Unknown,2050000000,6.90%,Maintained,Semiconductors/AI,Low,SEC 13F filed Feb 2026 / Fintel,AI chip leader
Tiger Global Management,0001167483,Q4 2025,Sea Ltd,SE,Unknown,1970000000,6.63%,Maintained,Gaming/E-commerce (SE Asia),Low,SEC 13F filed Feb 2026 / Fintel,Southeast Asian tech
Tiger Global Management,0001167483,Q4 2025,Meta Platforms Inc,META,Unknown,1820000000,6.13%,Maintained,Social Media/AI,Low,SEC 13F filed Feb 2026 / Fintel,Meta position
Tiger Global Management,0001167483,Q4 2025,Take-Two Interactive Software Inc,TTWO,Unknown,1500000000,5.05%,Maintained,Gaming/Tech,NOTABLE — PIF transferred TTWO to Savvy Games; Tiger holds $1.5B,SEC 13F filed Feb 2026 / Fintel,Notable given PIF's TTWO transfer to Savvy Games Group
Tiger Global Management,0001167483,Q4 2025,Apollo Global Management Inc,APO,Unknown,899000000,3.03%,Maintained,Alternative Asset Management,NOTABLE — Tiger owns $899M in Apollo stock,SEC 13F filed Feb 2026 / Fintel,Cross-entity connection: Tiger Global holds significant Apollo position
Tiger Global Management,0001167483,Q4 2025,Other positions (46 additional),Various,Various,Various,Various,$29.7B total; 54 positions. No Oracle; No defense; No Gulf SWF overlap,Various,TIER 3 — LOW RELEVANCE. Pure tech growth fund.,SEC 13F filed Feb 2026 / Fintel,TTWO and APO positions notable but not structurally Trident-relevant
SoftBank Group Corp,Various,Q4 2025,T-Mobile US Inc,TMUS,Unknown,5800000000,37.42%,Maintained,Telecom,Low,SEC 13F filed Feb 2026 / Fintel,Largest SoftBank holding
SoftBank Group Corp,Various,Q4 2025,Intel Corp,INTC,Unknown,3200000000,20.65%,Maintained,Semiconductors,Medium — silicon sovereignty adjacent,SEC 13F filed Feb 2026 / Fintel,US chip manufacturer; silicon sovereignty relevant
SoftBank Group Corp,Various,Q4 2025,Symbotic Inc,SYM,Unknown,2400000000,15.48%,Maintained,Robotics/Automation,Low,SEC 13F filed Feb 2026 / Fintel,AI-powered warehouse robotics
SoftBank Group Corp,Various,Q4 2025,Klarna Group PLC,KLAR,Unknown,Unknown,Unknown,Maintained,Fintech,NOTABLE — 3-way Klarna overlap (Mubadala + Silver Lake + SoftBank),SEC 13F filed Feb 2026 / Fintel,Three Trident-tracked entities all hold Klarna
SoftBank Group Corp,Various,Q4 2025,Taiwan Semiconductor Manufacturing Co,TSM,Unknown,603000000,3.89%,Maintained,Semiconductors,Medium — chip supply chain,SEC 13F filed Feb 2026 / Fintel,World's largest chip foundry
SoftBank Group Corp,Various,Q4 2025,Other positions (27 additional),Various,Various,Various,Various,$15.5B total; 32 positions. No Oracle; No Palantir; No defense,Various,TIER 2 — MODERATE. ARM/SoftBank-Mubadala connection; Klarna 3-way overlap; Intel silicon sovereignty adjacent.,SEC 13F filed Feb 2026 / Fintel,ARM connection to Mubadala is structural
Gallatin Point Capital LLC,N/A,Q4 2025,Bowhead Specialty Holdings Inc,BOW,Unknown,256000000,87.37%,Maintained,Insurance/Specialty Lines,Low,SEC 13F filed Feb 2026,Dominant position in insurance specialty
Gallatin Point Capital LLC,N/A,Q4 2025,James River Group Holdings Ltd,JRVR,Unknown,37000000,12.63%,Maintained,Insurance/Specialty Lines,Low,SEC 13F filed Feb 2026,Insurance specialty fund
Qatar Investment Authority,0001441449,Q4 2025,NO 13F FILED FOR Q4 2025,N/A,N/A,N/A,N/A,QIA files via 13D/13G only for individual large stakes,N/A,TIER 2 — MODERATE,SEC EDGAR / Fintel,"Known positions via 13D/13G: GBTG; Vistra (VST); ALHC; ESTA; SION. NEW: QIA announced $20B AI infrastructure JV with Brookfield Dec 2025."
