Year,Friction_Event,Friction_Date,Compliance_Event,Compliance_Date,Lag_Days,Source_URL
2023,SVB collapse / banking crisis begins,2023-03-10,Fed launches Bank Term Funding Program (BTFP) — emergency lending facility,2023-03-12,+2,https://www.federalreserve.gov/publications/2023-April-SVB-Executive-Summary.htm
2023,SVB collapse / banking crisis begins,2023-03-10,Biden EO: Reducing Gun Violence and Making Our Communities Safer,2023-03-17,+7,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2023,Trump Manhattan indictment (34 felony counts),2023-03-30,Biden EO: Prohibition on Use by the United States Government of Commercial Spyware,2023-03-30,0,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2023,Trump arraignment NYC,2023-04-04,Biden EO 14094: Modernizing Regulatory Review (raised significant regulation threshold $100M to $200M),2023-04-11,+7,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2023,Trump federal classified documents indictment,2023-06-08,Biden EO: Advancing Economic Security for Military and Veteran Spouses Caregivers and Survivors,2023-06-15,+7,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2023,UAP/UFO Congressional hearing (Grusch testimony),2023-07-26,Schumer-Rounds UAP Disclosure Act introduced as NDAA amendment,2023-07-26,0,https://www.democrats.senate.gov/newsroom/press-releases/schumer-rounds-introduce-new-legislation-to-declassify-government-records-related-to-unidentified-anomalous-phenomena-and-ufos_modeled-after-jfk-assassination-records-collection-act--as-an-amendment-to-ndaa
2023,UAP/UFO Congressional hearing (Grusch testimony),2023-07-26,Biden EO: Federal R&D in Support of Domestic Manufacturing and US Jobs,2023-08-02,+7,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2023,UAP/UFO Congressional hearing (Grusch testimony),2023-07-26,Biden EO: 2023 Amendments to the Manual for Courts-Martial,2023-08-02,+7,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2023,Trump Georgia RICO indictment (4th indictment),2023-08-14,13F filing deadline (Q2 2023) — major institutional disclosures,2023-08-14,0,https://www.sec.gov/search-filings
2023,Trump Georgia RICO indictment,2023-08-14,Biden EO: US Coast Guard Officer Personnel Management,2023-08-17,+3,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2023,Trump Georgia RICO indictment,2023-08-14,Pentagon awards $1.5B missile defense satellite contracts (Lockheed $816M + Northrop $733M),2023-08-21,+7,https://www.cnbc.com/2023/08/21/pentagon-awards-1point5-billion-to-lockheed-martin-northrop-grumman.html
2024,Trump assassination attempt (Butler PA rally),2024-07-13,Biden EO: White House Initiative on Advancing Educational Equity Through Hispanic-Serving Institutions,2024-07-22,+9,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2024,CrowdStrike global IT outage (8.5M Windows devices),2024-07-19,Biden drops out of presidential race,2024-07-21,+2,https://bidenwhitehouse.archives.gov/
2024,2024 Presidential Election,2024-11-05,Biden administration finalizes midnight regulations push across agencies (AI oversight / data privacy / environmental),2024-11-20,+15,https://regulatorystudies.columbian.gwu.edu/bidens-midnight-unified-agenda
