date_range,query,policy_scope,date,date_confidence,title,link,snippet,date_scraped,verification_status,event_type,country
,Commerce Department AI chip export controls 2015..2025,commentary/media,,,US-China tech war: Latest News and Updates,https://www.scmp.com/topics/us-china-tech-war,"Latest US-China tech war news, including insights on Huawei, US China trade war, China economy and Donald Trump.",2025-12-23,Widely Reported,policy,United States
,Commerce Department AI chip export controls 2015..2025,general,,,Beijing,https://www.fdd.org/topic/beijing/,"Rolling Back Export Controls, U.S. Offers China Powerful AI Chips. The United States has instituted a pay-to-play scheme for artificial intelligence (AI) ...Read more",2025-12-23,Corroborated by english.beijing.gov.cn,policy,United States
,Commerce Department AI chip export controls 2015..2025,general,,,"US bars imports of new models of DJI, all other foreign ...",https://www.ajot.com/news/us-bars-imports-of-new-models-of-dji-all-other-foreign-drones,"In September, the Commerce Department said it plans to issue rules to restrict Chinese drone imports that could go beyond the FCC action. The FCC ...Read more",2025-12-23,Corroborated by www.reuters.com,policy,United States
,Commerce Department AI chip export controls 2015..2025,general,,,Economy,https://www.globaltimes.cn/source/economy/index.html,"China's key transport development indicators posted steady growth this year, with cross-regional passenger trips exceeding 66 billion, official data showed.Read more",2025-12-23,Corroborated by www.whitehouse.gov,policy,United States
,Commerce Department AI chip export controls 2015..2025,commentary/media,,,Techmeme River,https://www.techmeme.com/river,Shopify's new AI commerce stack — Their VP of Product digs into just-launched products to help entrepreneurs and developers build with the latest AI and tech.Read more,2025-12-23,Widely Reported,policy,United States
,Commerce Department AI chip export controls 2015..2025,commentary/media,2025-12-19,,Business and Financial News,https://www.npr.org/sections/business/,"In the shadow of U.S. export controls, China rallies its own chip industry · December 19, 2025 • The chip industry in China is hustling to overcome a Western ...Read more",2025-12-23,Widely Reported,policy,United States
,Commerce Department AI chip export controls 2015..2025,commentary/media,,,"China: Latest News, News Articles, Photos, Videos",https://www.newsbytesapp.com/news/world/china,How China is boosting AI chip output despite US sanctions. China's semiconductor industry is beating US export controls by upgrading older chipmaking machines ...Read more,2025-12-23,Widely Reported,policy,United States
,Federal AI procurement policy 2015..2025,commentary/media,,,NIST commits $20M to strengthen AI in manufacturing,https://www.manufacturingdive.com/news/nist-20m-investment-strengthen-ai-cybersecurity/808614/,NIST commits $20M to strengthen AI in manufacturing. The federal agency said its investment will establish two centers focused on advancing the technology ...Read more,2025-12-23,Widely Reported,policy,United States
,Federal AI procurement policy 2015..2025,commentary/media,,,Manufacturing Procurement News,https://www.manufacturingdive.com/topic/procurement/,"Building a stronger procurement strategy for smarter savings in 2026. Empower procurement with data-driven insights, automation and scalable savings strategies.Read more",2025-12-23,Widely Reported,policy,United States
,Federal AI procurement policy 2015..2025,commentary/media,,,American Shipper - News Provider in Global Trade,https://www.freightwaves.com/american-shipper,"The voice of shippers worldwide for over 45 years. American Shipper analyzes and monitors global supply-chain, intermodal, container, and aircargo trends.",2025-12-23,Widely Reported,policy,United States
,Federal AI procurement policy 2015..2025,commentary/media,,,Rise and Fall of Elon Musk's DOGE Effort to Cut ...,https://www.bloomberg.com/news/newsletters/2025-12-23/rise-and-fall-of-elon-musk-s-doge-effort-to-cut-washington-waste,Cutting government spending proved difficult for the serial entrepreneur.,2025-12-23,Trusted Media,policy,United States
,Federal AI procurement policy 2015..2025,commentary/media,,,By the numbers: 2025 manufacturing trends,https://www.manufacturingdive.com/news/by-the-numbers-2025-manufacturing-trends/808583/,"Reflect on the year through key data points about tariffs, domestic investments, M&A, the manufacturing workforce, federal policy, AI and more.",2025-12-23,Widely Reported,policy,United States
,Federal AI procurement policy 2015..2025,commentary/media,2025-12-17,,News,https://www.canada.ca/en/news.html,"On December 17, 2025, the Office of the Procurement Ombud (OPO) took another step toward the implementation of foundational changes to improve the federal ...Read more",2025-12-23,Widely Reported,policy,United States
,NSA AI security guidelines 2015..2025,commentary/media,,,"National News, Weather, Sports, Breaking News",https://thenationaldesk.com/,"The National Desk brings breaking news, investigative reports, and political coverage that no other national news organization is bold enough to attack.",2025-12-23,Widely Reported,policy,United States
,NSA AI security guidelines 2015..2025,commentary/media,,,NASA's cosmic captures are the ultimate Christmas cards,https://www.heraldpalladium.com/news/national/nasa-s-cosmic-captures-are-the-ultimate-christmas-cards/article_f328977d-2aad-572d-ae05-1af591ea4862.html,NASA's Chandra X-ray Observatory reveals four new space images just in time for the holidays.,2025-12-23,Widely Reported,policy,United States
,NSA AI security guidelines 2015..2025,general,,,Baltimore Sun – Baltimore Sun: Your source for Baltimore ...,https://www.baltimoresun.com/,"Baltimore Sun's Top Workplaces rankings for 2025. Discover the Baltimore area's top employers: Honorees for 2025 come from education, health, tech, logistics,..Read more",2025-12-23,Corroborated by data.danetsoft.com,policy,United States
,NSA AI security guidelines 2015..2025,commentary/media,,,USA TODAY - Breaking News and Latest News Today,https://www.usatoday.com/,"USA TODAY delivers current national and local news, sports, entertainment, finance, technology, and more through award-winning journalism, photos, ...",2025-12-23,Widely Reported,policy,United States
,NSA AI security guidelines 2015..2025,commentary/media,,,Off The Press: Breaking News,https://www.offthepress.com/,Today's Headlines · Hunter Biden Delivers Sharp Critique Of Joe Biden's Presidency In Interview · White House Says No To Bishops' Christmas Immigration Pause.Read more,2025-12-23,Widely Reported,policy,United States
,Congress AI regulation hearings 2015..2025,commentary/media,,,Democratic Rep. Joyce Beatty sues to remove Trump's name ...,https://abcnews.go.com/Politics/democratic-rep-joyce-beatty-sues-remove-trumps-kennedy/story?id=128648362,House Democratic Rep. Joyce Beatty sued President Donald Trump on Monday -- hoping to force the removal of his name from the John F. Kennedy Center for the ...Read more,2025-12-23,Widely Reported,policy,United States
,Congress AI regulation hearings 2015..2025,commentary/media,,,"Trump Live Updates: China Tariffs, U.S. Ambassadors ...",https://www.nytimes.com/live/2025/12/23/us/trump-news,Student loan borrowers in default could see wages garnished starting Jan. 7. · The Trump administration delayed tariffs on Chinese semiconductors.Read more,2025-12-23,Trusted Media,policy,United States
,Congress AI regulation hearings 2015..2025,commentary/media,,,Morning Money - POLITICO,https://www.politico.com/newsletters/morning-money,"Morning Money is a free version of POLITICO Pro Financial Services morning newsletter, which is delivered to our subscribers each morning at 5:15 am.Read more",2025-12-23,Trusted Media,policy,United States
,Congress AI regulation hearings 2015..2025,commentary/media,,,"CalMatters - California Politics, Policy, and Political News",https://calmatters.org/,"CalMatters is the leading nonprofit, nonpartisan newsroom committed to explaining California politics and policy.",2025-12-23,Widely Reported,policy,United States
,Congress AI regulation hearings 2015..2025,commentary/media,,,Trump's Economic Adviser Says Tariff Refunds Would Be ' ...,https://www.yahoo.com/news/articles/trumps-economic-adviser-says-tariff-173556218.html,"The Trump administration is finally confronting the complicated reality of its complex and costly tariff policies. Oh, not when it comes to collecting those ...Read more",2025-12-23,Widely Reported,policy,United States
,Treasury Department AI financial risk policy 2015..2025,commentary/media,,,Re-litigating the GENIUS Act Brings Risk and No Rewards,https://tabbforum.com/opinions/re-litigating-the-genius-act-brings-risk-and-no-rewards/,The GENIUS Act represents something harder and harder to find in Washington: genuine bipartisan consensus on complex financial policy. After months of ...Read more,2025-12-23,Widely Reported,policy,United States
,Treasury Department AI financial risk policy 2015..2025,commentary/media,,,US stocks rose again in 2025 after overcoming turbulence ...,https://www.canoncitydailyrecord.com/2025/12/23/ye-financial-markets/,US stocks rose again in 2025 after overcoming turbulence from tariffs and Trump's fight with the Fed. Many professional investors think more gains could be ...Read more,2025-12-23,Widely Reported,policy,United States
,Treasury Department AI financial risk policy 2015..2025,commentary/media,,,Why the Fed strategically absorbed some blows from Trump,https://www.washingtonpost.com/business/2025/12/23/fed-fight-trump-independence/,"Facing threats from President Donald Trump, the central bank opted for a low-profile strategy, juggling political pressures and the looming question of how ...Read more",2025-12-23,Trusted Media,policy,United States
,Treasury Department AI financial risk policy 2015..2025,commentary/media,,,Wall Street Sees Record Investment-Grade Bond Issuance ...,https://www.gurufocus.com/news/4085238/wall-street-sees-record-investmentgrade-bond-issuance-in-2026,"A significant portion of that borrowing is expected to be linked directly to AI, with Morgan Stanley estimating AI-related debt issuance could more than double ...Read more",2025-12-23,Widely Reported,policy,United States
,Treasury Department AI financial risk policy 2015..2025,commentary/media,,,Stocks Gets Tech Lift to Hover Near Peak Amid Data,https://www.swissinfo.ch/eng/stocks-gets-tech-lift-to-hover-near-peak-amid-data%3A-markets-wrap/90679991,(Bloomberg) — Wall Street traders parsing a big batch of economic reports in a session marked by slim trading drove stocks closer to their all-time highs.Read more,2025-12-23,Widely Reported,policy,United States
,State Department AI international norms 2015..2025,commentary/media,,,AI Police Reports: Year In Review,https://www.eff.org/deeplinks/2025/12/ai-police-reports-year-review,"In the coming year, anticipate many more states joining California and Utah in regulating, or perhaps even banning, police from using AI to write their reports.Read more",2025-12-23,Widely Reported,policy,United States
,State Department AI international norms 2015..2025,commentary/media,2025-11-21,,California AG Announces $1.4 Million Settlement with ...,https://www.insideprivacy.com/state-privacy/california-ag-announces-1-4-million-settlement-with-mobile-app-gaming-developer-over-ccpa-violations/,"On November 21, 2025, California Attorney General Rob Bonta announced a $1.4 million settlement with Jam City, Inc. (“Jam City”), a mobile app gaming.",2025-12-23,Widely Reported,policy,United States
,State Department AI international norms 2015..2025,commentary/media,,,U.S. pushes additional tariffs on Chinese chips to June 2027,https://www.cnbc.com/2025/12/23/us-china-chip-tariffs.html,"The U.S. will increase tariffs on Chinese semiconductor imports in June 2027, at a rate to be determined at least a month in advance.Read more",2025-12-23,Widely Reported,policy,United States
,U.S. Executive Order artificial intelligence 2015..2025,commentary/media,,,What Healthcare Leaders need to Know about HHS's New ...,https://natlawreview.com/article/6-things-healthcare-leaders-need-know-about-hhss-new-ai-rfi,"The six things healthcare needs to know about new AI rules. HHS regulations, payment policy, R&D parnterships, HHS's roadmap, etc.",2025-12-23,Relevance Check Passed,policy,United States
,U.S. Executive Order artificial intelligence 2015..2025,commentary/media,,,Tech 2025: The AI Year,https://cepa.org/article/tech-2025-the-ai-year/,"President Trump gave the AI sector rocket fuel; he appointed tech investor David Saks as AI and Crypto Czar, loosened chip export controls to China, and issued ...Read more",2025-12-23,Relevance Check Passed,policy,United States
,U.S. Executive Order artificial intelligence 2015..2025,federal,,,MeriTalk's Top 10 Federal IT Moments of 2025,https://cdn.meritalk.com/articles/meritalks-top-10-federal-it-moments-of-2025/,"On his first day on the job, President Trump signed an executive order ending remote work for federal employees and ordering them to return to the office “on a ...Read more",2025-12-23,Relevance Check Passed,policy,United States
,U.S. Executive Order artificial intelligence 2015..2025,commentary/media,,,CSIS | Center for Strategic and International Studies,https://www.csis.org/,"A coordinated strategy using open-source intelligence, maritime law, and multilateral diplomacy can impose real costs on illicit trade networks fueling Moscow's ...Read more",2025-12-23,Relevance Check Passed,policy,United States
,U.S. Executive Order artificial intelligence 2015..2025,federal,,,Experts Look Ahead to 2026: Private Assets and 401(k) Plans,https://www.wealthmanagement.com/regulation-compliance/in-2026-supporters-and-critics-see-regulators-rethinking-alts-401-k-access,Industry experts say President Donald Trump's executive order will bring private equity and crypto to retirement plans by 2027 despite litigation risks.,2025-12-23,Relevance Check Passed,policy,United States
,Department of Defense AI strategy directive 2015..2025,commentary/media,,,Military recruiting soars after Trump election and 'woke ...,https://www.washingtontimes.com/news/2025/dec/23/us-military-recruiting-hits-15-year-high-trump-administration/,"The U.S. military posted its strongest recruiting performance in 15 years during fiscal 2025, with Pentagon officials drawing a direct line between the ...",2025-12-23,Relevance Check Passed,policy,United States
,Department of Defense AI strategy directive 2015..2025,federal,,,Lawfare | Lawfare,https://www.lawfaremedia.org/,"Lawfare is a non-profit multimedia publication dedicated to “Hard National Security Choices.” We provide non-partisan, timely analysis of thorny legal and ...Read more",2025-12-23,Relevance Check Passed,policy,United States
,Department of Defense AI strategy directive 2015..2025,federal,,,ai News in Hindi -822 News Headlines Found,https://www.uniindia.com/tags/ai,"New Delhi, Dec 23 (UNI) Defence Minister Rajnath Singh released the 'Guide on Preparation of Detailed Project Reports (DPRs) for Road Infrastructure Projects' ...Read more",2025-12-23,Relevance Check Passed,policy,United States
,Commerce Department AI chip export controls 2015..2025,commentary/media,,,US to Impose China Chip Tariffs in 2027,https://www.theepochtimes.com/china/us-to-impose-china-chip-tariffs-in-2027-post-5962004,"Although China cannot manufacture the most advanced chips due to U.S. export controls on artificial intelligence technology, industry analysts say the country ...Read more",2025-12-23,Relevance Check Passed,policy,United States
,Commerce Department AI chip export controls 2015..2025,commentary/media,,,US Science & Technology: Latest News and Updates,https://www.scmp.com/news/us/science-technology,The SAFE CHIPS Act is a rare effort led in part by Trump's own party to stop him from further relaxing tech export restrictions on Beijing. 5 Dec 2025 - 4: ...Read more,2025-12-23,Relevance Check Passed,policy,United States
,Commerce Department AI chip export controls 2015..2025,commentary/media,,,Holiday M&A Frenzy Keeps Wall Street Bankers Working,http://virginiabusiness.com/holiday-ma-frenzy-wall-street-bankers-working/,"A surge in holiday M&A activity tops $463B as bankers race to close blockbuster deals before year-end, fueling a strong 2026 pipeline.",2025-12-23,Relevance Check Passed,policy,United States
,Federal AI procurement policy 2015..2025,commentary/media,,,Nvidia prepares shipment of 82000 AI GPUs to China as ...,https://www.tomshardware.com/tech-industry/semiconductors/nvidia-prepares-h200-shipments-to-china-as-chip-war-lines-blur,"Nvidia prepares shipment of 82,000 AI GPUs to China as chip war lines blur — H200 shipments with 25% tax to begin as US loosens restrictions. MEMBER EXCLUSIVE.Read more",2025-12-23,Relevance Check Passed,policy,United States
,Federal AI procurement policy 2015..2025,federal,,,Generative AI Lead Specialist - - 320308,https://apply.deloitte.com/en_US/careers/JobDetail/Generative-AI-Lead-Specialist/320308,"Assist in identifying potential risks related to technology adoption and ensure activities adhere to federal acquisition rules, internal policies, and security ...Read more",2025-12-23,Relevance Check Passed,policy,United States
,U.S. government AI infrastructure investment 2015..2025,commentary/media,,,Blockchain Magazine: Best Crypto To Buy - XRP ETF & Top ...,https://blockchainmagazine.net/,"In our Regulation category, we keep you updated on policy changes, government frameworks, and compliance strategies affecting the blockchain and crypto ...Read more",2025-12-23,Relevance Check Passed,policy,United States
,Congress AI regulation hearings 2015..2025,commentary/media,,,Colony Ridge and feds to settle predatory lending lawsuit,https://www.texastribune.org/2025/12/23/texas-colony-ridge-federal-government-lawsuit-settlement/,The Houston-area developer came under fierce GOP scrutiny two years ago for selling land to undocumented people.,2025-12-23,Relevance Check Passed,policy,United States
,Treasury Department AI financial risk policy 2015..2025,commentary/media,,,AI data center demand 'unabated' despite stock selloff ...,https://www.coindesk.com/business/2025/12/23/ai-trade-isn-t-dead-an-inside-look-into-wall-street-s-lucrative-data-center-deals,"Bitcoin miners and AI/HPC developers are still bidding aggressively for megawatts, even into late Dec., according to investment banker Joe Nardini.Read more",2025-12-23,Relevance Check Passed,policy,United States
,Treasury Department AI financial risk policy 2015..2025,commentary/media,,,Democratic AGs file suit demanding CFPB funding,https://www.americanbanker.com/news/democratic-ags-file-suit-demanding-cfpb-funding,"A group of 22 state attorneys general, all Democrats, filed a lawsuit against acting Consumer Financial Protection Bureau Director Russell Vought, ...",2025-12-23,Relevance Check Passed,policy,United States
,Manual Anchor Update,federal,2025-01-23,,Removing Barriers to American Leadership in AI (EO 14179),https://www.whitehouse.gov/briefing-room/presidential-actions/2025/01/23/removing-barriers-to-american-leadership-in-ai/,Revokes prior AI policy barriers and directs an AI Action Plan within 180 days to maintain U.S. AI leadership.,,Official Source,Executive Order,United States
,Manual Anchor Update,federal,2025-12-11,,Ensuring a National Policy Framework for Artificial Intelligence,https://www.whitehouse.gov/briefing-room/presidential-actions/2025/12/11/ensuring-a-national-policy-framework-for-artificial-intelligence/,"Establishes a national policy framework for AI. Actual signing date is Dec 11, 2025.",,official source,Executive Order,United States
